t,decode_fps,decode_ms,batch_fill_ms,batch_gap_ms,batch_size_eff,batch_timeout_hits,yolo_fps,yolo_ms,post_ms,embed_fps,embed_ms,render_fps,render_ms,upload_ms,draw_ms,q_meta,q_infer,ring_used,ring_cap
1758001278.661,38.74,25.816,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,64
1758001279.684,25.43,39.322,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,3,64
1758001280.685,42.09,23.76,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,29,64
1758001281.686,37.02,27.012,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,55,64
1758001282.687,68.14,14.675,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,26.11,38.301,18.81,0.0,10,0,39,64
1758001283.688,73.95,13.523,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,96.57,10.355,10.201,0.0,1,0,21,64
1758001284.709,60.32,16.577,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,70.66,14.152,13.974,0.0,2,0,23,64
1758001285.71,96.78,10.333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,70.92,14.1,13.923,0.0,3,0,24,64
1758001286.711,70.93,14.099,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,86.78,11.523,11.364,0.0,1,0,15,64
1758001287.712,82.37,12.14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,82.82,12.074,11.898,0.0,0,0,19,64
1758001288.713,54.53,18.337,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,50.24,19.904,19.725,0.0,10,0,34,64
1758001289.714,67.31,14.856,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,75.95,13.166,12.87,0.0,6,0,22,64
1758001290.715,54.89,18.217,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,68.27,14.648,14.387,0.0,6,0,24,64
1758001291.716,53.87,18.563,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,66.63,15.009,14.707,0.0,8,0,30,64
1758001292.757,28.91,34.595,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,75.01,13.331,12.953,0.0,1,0,24,64
1758001293.758,49.94,20.024,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,74.01,13.512,13.203,0.0,5,0,24,64
1758001294.759,34.65,28.861,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,78.33,12.767,12.47,0.0,3,0,25,64
1758001295.76,46.84,21.349,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,72.04,13.882,13.518,0.0,8,0,37,64
1758001296.76,31.75,31.496,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,72.78,13.74,13.392,0.0,5,0,31,64
1758001297.761,47.62,21.001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,74.55,13.414,13.21,0.0,1,0,20,64
1758001298.764,53.49,18.695,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,70.29,14.226,13.931,0.0,4,0,25,64
1758001299.765,69.41,14.407,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,70.55,14.175,13.735,0.0,10,0,29,64
1758001300.86,30.82,32.451,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,81.82,12.222,11.848,0.0,2,0,34,64
1758001301.862,69.77,14.332,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,69.86,14.315,13.984,0.0,4,0,22,64
1758001302.863,79.18,12.629,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,90.93,10.998,10.699,0.0,2,0,29,64
1758001303.865,34.38,29.085,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,31.07,32.184,31.82,0.0,3,0,30,64
1758001304.914,35.44,28.215,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,73.06,13.687,13.344,0.0,1,0,26,64
1758001305.916,78.83,12.686,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,84.05,11.897,11.612,0.0,8,0,29,64
1758001306.962,40.4,24.753,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,83.42,11.987,11.602,0.0,2,0,20,64
1758001307.963,42.78,23.373,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,67.95,14.717,14.339,0.0,4,0,25,64
1758001308.963,75.72,13.206,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,83.01,12.047,11.732,0.0,7,0,26,64
1758001309.964,79.11,12.641,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,92.41,10.821,10.517,0.0,10,0,35,64
1758001310.982,31.06,32.196,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,69.79,14.329,13.861,0.0,0,0,23,64
1758001311.983,51.0,19.607,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,50.12,19.953,19.577,0.0,4,0,21,64
1758001312.985,61.09,16.369,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,63.48,15.753,15.312,0.0,1,0,18,64
1758001313.986,56.56,17.681,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,95.02,10.524,10.217,0.0,0,0,18,64
1758001314.987,46.8,21.367,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,79.39,12.596,12.314,0.0,0,1,18,64
1758001315.991,71.31,14.023,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,69.32,14.426,14.061,0.0,0,0,12,64
1758001317.029,40.17,24.892,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,70.86,14.112,13.73,0.0,1,0,17,64
1758001318.03,44.66,22.389,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,85.97,11.632,11.187,0.0,4,0,22,64
1758001319.031,83.91,11.918,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,71.04,14.077,13.777,0.0,8,0,27,64
1758001320.033,91.37,10.944,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,87.28,11.458,11.036,0.0,0,0,21,64
1758001321.081,95.86,10.432,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,78.04,12.814,12.526,0.0,4,0,33,64
1758001322.082,51.75,19.324,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,71.86,13.915,13.617,0.0,8,0,35,64
1758001323.083,53.63,18.645,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,53.85,18.569,18.262,0.0,0,0,22,64
1758001324.084,51.14,19.553,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,57.81,17.297,16.886,0.0,7,0,30,64
1758001325.084,86.3,11.587,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,70.97,14.091,13.644,0.0,0,0,32,64
1758001326.085,41.49,24.103,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,55.78,17.928,17.496,0.0,4,0,28,64
1758001327.088,30.76,32.51,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,68.46,14.607,14.191,0.0,2,0,29,64
1758001328.089,51.02,19.602,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,56.65,17.651,17.085,0.0,8,0,32,64
1758001329.09,32.46,30.805,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,77.94,12.83,12.433,0.0,4,0,30,64
1758001330.091,53.24,18.783,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,92.67,10.791,10.501,0.0,0,0,22,64
1758001331.092,32.37,30.89,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,71.39,14.007,13.623,0.0,4,0,31,64
1758001332.093,80.15,12.477,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,94.71,10.559,10.209,0.0,10,0,31,64
1758001333.143,48.42,20.654,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,80.21,12.468,12.097,0.0,3,0,22,64
1758001334.144,61.12,16.362,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,56.71,17.635,17.188,0.0,0,0,27,64
1758001335.206,40.23,24.856,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,74.1,13.496,13.141,0.0,2,0,21,64
1758001336.208,41.98,23.82,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,47.73,20.949,20.613,0.0,5,0,25,64
1758001337.209,64.58,15.485,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,76.42,13.085,12.756,0.0,0,1,17,64
1758001338.21,68.41,14.618,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,88.28,11.328,10.967,0.0,7,0,21,64
1758001339.21,50.54,19.787,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,49.05,20.387,19.98,0.0,7,0,31,64
1758001340.211,74.6,13.404,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,67.11,14.9,14.177,0.0,6,0,22,64
